Обозначение	Тип	Наименование	Ревизия	Описание
0,8-Т-12Х18Н9Т ГОСТ 18143-72	I8_MaterialEM	0,8-Т-12Х18Н9Т ГОСТ 18143-72	001	Проволока
1-12-140-OST_1_11303-73	sdb_DetailItem	Перемычка металлизации 1-8-140 ОСТ 1 11303-73	001	
1-12-80-OST_1_11303-73	sdb_DetailItem	Перемычка металлизации 1-8-80 ОСТ 1 11303-73	001	
1200-5300-0000-SET-00B1	I8_BCS	1200-5300-0000-SET-00B1	001	МС-21-300. Фюзеляж. Схемы деления структурные. Комплект
1200-5300-0000-SET-00TC	I8_BCS	1200-5300-0000-SET-00TC	001	МС-21-300. Фюзеляж. Технические условия. Комплект
1200-5300-0000-SET-00TD	I8_BCS	1200-5300-0000-SET-00TD	001	МС-21-300. Фюзеляж. Теоретические чертежи. Комплект
1200-5300-0000-SET-1D20	I8_BCS	1200-5300-0000-SET-1D20	001	МС-21-300. Фюзеляж. Компоновочные чертежи. Комплект
1200-5300-0000-SET-D350	I8_BCS	1200-5300-0000-SET-D350	001	МС-21-300. Фюзеляж. Схемы панелирования. Комплект
1200-5300-0000-SET-D590	I8_BCS	1200-5300-0000-SET-D590	001	МС-21-300. Фюзеляж. Разбивка самолета на зоны. Комплект
1200-5300-0000-SET-D720	I8_BCS	1200-5300-0000-SET-D720	001	МС-21-300. Фюзеляж. Схемы расположения. Комплект
1200-5300-0000-SET-D740	I8_BCS	1200-5300-0000-SET-D740	001	МС-21-300. Фюзеляж. Схемы герметизации. Комплект
1212-2820-N000-000-D500	I8_PseudoAssy	1212-2820-N000-000-D500	001	Система распределения топлива в пилоне правом. ПСО
1212-2820-P000-000-D500	I8_PseudoAssy	1212-2820-P000-000-D500	001	Система распределения топлива в пилоне левом. ПСО
1212-2821-4230-000-D510	I8_PseudoAssy	1212-2821-4230-000-D510	001	Монтаж трубопровода на балке пилона левой. ПСК
1212-2821-5220-000-D510	I8_PseudoAssy	1212-2821-5220-000-D510	001	Монтаж трубопровода в балке передней. ПСК
1212-2821-5230-000-D510	I8_PseudoAssy	1212-2821-5230-000-D510	001	Монтаж трубопровода на балке пилона правой. ПСК
1212-2821-5260-000-D510	I8_PseudoAssy	1212-2821-5260-000-D510	001	Установка кронштейнов в балке передней. ПСК
12RP-5213-4650-001-D510	I8_PseudoAssy	12RP-5213-4650-001-D510	001	Установка запирающего узла заднего. ПСК
